mnth.yr,op,tp100,tr100,uop,usit.cnt
Jul-14,103.5886364,67.23,21.6675,8754,17
Aug-14,96.53619048,63.43,22.366,8835,16
Sep-14,93.21190476,62.69,22.7025,8959,17
Oct-14,84.39695652,68.93,22.928,9129,17
Nov-14,75.78947368,54.52,22.9175,9198,18
Dec-14,59.29045455,50.03,21.9625,9423,15
Jan-15,47.219,38.2,19.944,9341,13
Feb-15,50.58421053,34.57,16.56,9451,10
Mar-15,47.82363636,39.9,12.585,9648,9
Apr-15,54.45285714,35.27,10.3025,9694,7
May-15,59.265,36.14,9.352,9479,12
Jun-15,59.81954545,38.38,9.575,9315,10
Jul-15,50.90090909,38.67,10.142,9432,10
Aug-15,42.86761905,34.14,10.505,9407,10
Sep-15,45.47952381,32.79,9.965,9453,9
Oct-15,46.22363636,39.34,9.412,9379,9
Nov-15,42.4435,33.36,9.06,9329,9
Dec-15,37.18863636,37.15,8.306,9246,9
Jan-16,31.68315789,19.52,8.315,9192,6
Feb-16,30.323,19.49,7.145,9157,5
Mar-16,37.54636364,19.76,5.355,9168,0
Apr-16,40.7552381,17.92,4.51,8947,6
May-16,46.71238095,21.78,4.235,8894,8
,,,,,
,,,,,
,,,,,
