Year,Month,us.price,us.rig,us.prod,tool.a,tool.b,tool.c
2013,1,94.75666667,22.0625,7073,5.8,44.5,7.193548387
2013,2,95.30894737,23.4875,7091,6.074074074,47.66666667,7.071428571
2013,3,92.9385,21.672,7157,6.5,42.73333333,7.967741935
2013,4,92.02136364,18.5625,7374,8.137931034,34.44827586,7.933333333
2013,5,94.50954545,18.408,7291,9.766666667,34.53333333,6.225806452
2013,6,95.7725,18.8725,7254,8.724137931,42.17241379,10
2013,7,104.6709091,19.955,7458,11.3,62.33333333,9.451612903
2013,8,106.5727273,20.838,7515,13,67.8,10.29032258
2013,9,106.2895,20.77,7734,12.37931034,74.82758621,10.36666667
2013,10,100.5382609,20.5725,7663,9.9,76.03333333,14.03225806
2013,11,93.864,20.82,7846,14.27586207,80.55172414,11.63333333
2013,12,97.6252381,20.805,7793,14.5,80.36666667,13.03225806
2014,1,94.61714286,22.146,7998,13.7,80.66666667,12
2014,2,100.8173684,23.3875,8087,12.88888889,85.96296296,15.71428571
2014,3,100.8038095,21.9825,8244,14.26666667,73.13333333,13.5483871
2014,4,102.0690476,19.8475,8568,16.51724138,68.51724138,13.66666667
2014,5,102.1771429,19.61,8577,16.33333333,65.33333333,12.67741935
2014,6,105.7942857,20.4125,8678,16.5862069,58.31034483,11.43333333
2014,7,103.5886364,21.6675,8754,17.46666667,59.33333333,14.67741935
2014,8,96.53619048,22.366,8835,18.36666667,56,13.03225806
2014,9,93.21190476,22.7025,8959,14.76666667,57.03333333,14.06666667
2014,10,84.39695652,22.928,9129,15.23333333,52.9,11.83870968
2014,11,75.78947368,22.9175,9198,14.96551724,50.31034483,9.933333333
2014,12,59.29045455,21.9625,9423,12.4,51.1,11.09677419
2015,1,47.219,19.944,9341,12.6,50.53333333,9.516129032
2015,2,50.58421053,16.56,9451,11.88888889,45.59259259,7.821428571
2015,3,47.82363636,12.585,9648,9.966666667,26.06666667,6.387096774
2015,4,54.45285714,10.3025,9694,9.827586207,23.13793103,5.3
2015,5,59.265,9.352,9479,10.33333333,20.5,5.096774194
2015,6,59.81954545,9.575,9315,9.448275862,17.24137931,4.866666667
2015,7,50.90090909,10.142,9432,9.133333333,18.2,4.774193548
2015,8,42.86761905,10.505,9407,9.133333333,24,4.064516129
2015,9,45.47952381,9.965,9453,8.896551724,24.20689655,4.333333333
2015,10,46.22363636,9.412,9379,9.5,22.2,5.032258065
2015,11,42.4435,9.06,9329,8.620689655,18.65517241,5.633333333
2015,12,37.18863636,8.306,9246,6.866666667,17.4,5.774193548
2016,1,31.68315789,8.315,9192,6.333333333,15.46666667,3.387096774
2016,2,30.323,7.145,9157,4.642857143,14.03571429,3.103448276
2016,3,37.54636364,5.355,9168,5,11,2
2016,4,40.7552381,4.51,8947,6.206896552,9.275862069,3.033333333
2016,5,46.71238095,4.235,8894,7.966666667,8.866666667,1.387096774
