Year,Month,Day,toola.dd
2012,1,1,10
2012,1,2,9
2012,1,3,6
2012,1,4,9
2012,1,5,8
2012,1,6,7
2012,1,7,5
2012,1,8,5
2012,1,9,7
2012,1,10,10
2012,1,11,5
2012,1,12,8
2012,1,13,5
2012,1,14,6
2012,1,15,4
2012,1,16,8
2012,1,17,9
2012,1,18,9
2012,1,19,13
2012,1,20,13
2012,1,21,9
2012,1,22,8
2012,1,23,11
2012,1,24,9
2012,1,25,9
2012,1,26,7
2012,1,27,9
2012,1,28,5
2012,1,29,6
2012,1,30,8
2012,1,31,7
2012,2,2,7
2012,2,3,7
2012,2,4,6
2012,2,5,5
2012,2,6,4
2012,2,7,6
2012,2,8,6
2012,2,9,11
2012,2,10,4
2012,2,11,3
2012,2,12,5
2012,2,13,7
2012,2,14,6
2012,2,15,9
2012,2,16,8
2012,2,17,5
2012,2,18,4
2012,2,19,7
2012,2,20,3
2012,2,21,1
2012,2,22,5
2012,2,23,3
2012,2,24,3
2012,2,25,3
2012,2,26,4
2012,2,27,4
2012,2,28,2
2012,2,29,4
2012,3,1,7
2012,3,3,3
2012,3,4,3
2012,3,5,3
2012,3,6,6
2012,3,7,5
2012,3,8,5
2012,3,9,5
2012,3,10,5
2012,3,11,6
2012,3,12,4
2012,3,13,7
2012,3,14,6
2012,3,15,5
2012,3,16,5
2012,3,17,3
2012,3,18,4
2012,3,19,5
2012,3,20,5
2012,3,21,2
2012,3,22,4
2012,3,23,4
2012,3,24,4
2012,3,25,5
2012,3,26,6
2012,3,27,6
2012,3,28,7
2012,3,29,9
2012,3,30,4
2012,3,31,2
2012,4,1,0
2012,4,2,6
2012,4,4,3
2012,4,5,1
2012,4,6,2
2012,4,7,1
2012,4,8,2
2012,4,9,5
2012,4,10,6
2012,4,11,5
2012,4,12,4
2012,4,13,7
2012,4,14,2
2012,4,15,2
2012,4,16,5
2012,4,17,5
2012,4,18,4
2012,4,19,6
2012,4,20,1
2012,4,21,0
2012,4,22,3
2012,4,23,5
2012,4,24,7
2012,4,25,5
2012,4,26,5
2012,4,27,4
2012,4,28,7
2012,4,29,5
2012,4,30,9
2012,5,1,6
2012,5,2,9
2012,5,3,6
2012,5,5,1
2012,5,6,5
2012,5,7,5
2012,5,8,5
2012,5,9,7
2012,5,10,8
2012,5,11,5
2012,5,12,3
2012,5,13,4
2012,5,14,6
2012,5,15,7
2012,5,16,8
2012,5,17,5
2012,5,18,9
2012,5,19,5
2012,5,20,3
2012,5,21,4
2012,5,22,6
2012,5,23,6
2012,5,24,3
2012,5,25,2
2012,5,26,2
2012,5,27,2
2012,5,28,3
2012,5,29,4
2012,5,30,7
2012,5,31,5
2012,6,1,5
2012,6,2,1
2012,6,3,2
2012,6,4,2
2012,6,6,2
2012,6,7,6
2012,6,8,6
2012,6,9,3
2012,6,10,2
2012,6,11,3
2012,6,12,4
2012,6,13,4
2012,6,14,1
2012,6,15,2
2012,6,16,2
2012,6,17,1
2012,6,18,5
2012,6,19,6
2012,6,20,6
2012,6,21,3
2012,6,22,6
2012,6,23,8
2012,6,24,1
2012,6,25,2
2012,6,26,1
2012,6,27,5
2012,6,28,9
2012,6,29,10
2012,6,30,5
2012,7,1,3
2012,7,2,4
2012,7,3,7
2012,7,4,5
2012,7,5,3
2012,7,7,1
2012,7,8,2
2012,7,9,5
2012,7,10,3
2012,7,11,3
2012,7,12,2
2012,7,13,6
2012,7,14,5
2012,7,15,3
2012,7,16,3
2012,7,17,3
2012,7,18,5
2012,7,19,10
2012,7,20,6
2012,7,21,4
2012,7,22,6
2012,7,23,7
2012,7,24,10
