Year,Month,Day,toolb.dd
2012,1,1,43
2012,1,2,40
2012,1,3,46
2012,1,4,51
2012,1,5,56
2012,1,6,56
2012,1,7,56
2012,1,8,54
2012,1,9,55
2012,1,10,52
2012,1,11,50
2012,1,12,56
2012,1,13,57
2012,1,14,64
2012,1,15,65
2012,1,16,57
2012,1,17,58
2012,1,18,57
2012,1,19,62
2012,1,20,59
2012,1,21,60
2012,1,22,61
2012,1,23,62
2012,1,24,64
2012,1,25,64
2012,1,26,54
2012,1,27,65
2012,1,28,58
2012,1,29,55
2012,1,30,57
2012,1,31,71
2012,2,2,57
2012,2,3,59
2012,2,4,54
2012,2,5,62
2012,2,6,65
2012,2,7,66
2012,2,8,62
2012,2,9,63
2012,2,10,57
2012,2,11,53
2012,2,12,62
2012,2,13,58
2012,2,14,56
2012,2,15,52
2012,2,16,60
2012,2,17,67
2012,2,18,66
2012,2,19,68
2012,2,20,54
2012,2,21,52
2012,2,22,52
2012,2,23,46
2012,2,24,55
2012,2,25,51
2012,2,26,50
2012,2,27,54
2012,2,28,57
2012,2,29,51
2012,3,1,49
2012,3,3,46
2012,3,4,63
2012,3,5,65
2012,3,6,56
2012,3,7,54
2012,3,8,56
2012,3,9,55
2012,3,10,52
2012,3,11,48
2012,3,12,53
2012,3,13,44
2012,3,14,43
2012,3,15,46
2012,3,16,40
2012,3,17,39
2012,3,18,36
2012,3,19,26
2012,3,20,31
2012,3,21,34
2012,3,22,33
2012,3,23,30
2012,3,24,37
2012,3,25,49
2012,3,26,39
2012,3,27,35
2012,3,28,40
2012,3,29,29
2012,3,30,35
2012,3,31,36
2012,4,1,38
2012,4,2,33
2012,4,4,37
2012,4,5,37
2012,4,6,33
2012,4,7,31
2012,4,8,35
2012,4,9,37
2012,4,10,32
2012,4,11,32
2012,4,12,31
2012,4,13,33
2012,4,14,34
2012,4,15,35
2012,4,16,34
2012,4,17,35
2012,4,18,36
2012,4,19,38
2012,4,20,37
2012,4,21,33
2012,4,22,31
2012,4,23,32
2012,4,24,34
2012,4,25,36
2012,4,26,39
2012,4,27,34
2012,4,28,25
2012,4,29,33
2012,4,30,35
2012,5,1,32
2012,5,2,30
2012,5,3,31
2012,5,5,38
2012,5,6,42
2012,5,7,41
2012,5,8,34
2012,5,9,36
2012,5,10,28
2012,5,11,32
2012,5,12,38
2012,5,13,40
2012,5,14,27
2012,5,15,34
2012,5,16,44
2012,5,17,33
2012,5,18,32
2012,5,19,37
2012,5,20,32
2012,5,21,35
2012,5,22,30
2012,5,23,33
2012,5,24,35
2012,5,25,40
2012,5,26,42
2012,5,27,36
2012,5,28,28
2012,5,29,30
2012,5,30,31
2012,5,31,35
2012,6,1,37
2012,6,2,33
2012,6,3,33
2012,6,4,29
2012,6,6,32
2012,6,7,32
2012,6,8,33
2012,6,9,38
2012,6,10,38
2012,6,11,25
2012,6,12,28
2012,6,13,33
2012,6,14,26
2012,6,15,24
2012,6,16,25
2012,6,17,31
2012,6,18,31
2012,6,19,33
2012,6,20,35
2012,6,21,36
2012,6,22,33
2012,6,23,34
2012,6,24,38
2012,6,25,34
2012,6,26,30
2012,6,27,25
2012,6,28,29
2012,6,29,30
2012,6,30,35
2012,7,1,34
2012,7,2,41
2012,7,3,44
2012,7,4,39
2012,7,5,32
2012,7,7,42
