"date","daily.demand"
2012-01-01,10
2012-01-02,9
2012-01-03,6
2012-01-04,9
2012-01-05,8
2012-01-06,7
2012-01-07,5
2012-01-08,5
2012-01-09,7
2012-01-10,10
2012-01-11,5
2012-01-12,8
2012-01-13,5
2012-01-14,6
2012-01-15,4
2012-01-16,8
2012-01-17,9
2012-01-18,9
2012-01-19,13
2012-01-20,13
2012-01-21,9
2012-01-22,8
2012-01-23,11
2012-01-24,9
2012-01-25,9
2012-01-26,7
2012-01-27,9
2012-01-28,5
2012-01-29,6
2012-01-30,8
2012-01-31,7
2012-02-02,7
2012-02-03,7
2012-02-04,6
2012-02-05,5
2012-02-06,4
2012-02-07,6
2012-02-08,6
2012-02-09,11
2012-02-10,4
2012-02-11,3
2012-02-12,5
2012-02-13,7
2012-02-14,6
2012-02-15,9
2012-02-16,8
2012-02-17,5
2012-02-18,4
2012-02-19,7
2012-02-20,3
2012-02-21,1
2012-02-22,5
2012-02-23,3
2012-02-24,3
2012-02-25,3
2012-02-26,4
2012-02-27,4
2012-02-28,2
2012-02-29,4
2012-03-01,7
2012-03-03,3
2012-03-04,3
2012-03-05,3
2012-03-06,6
2012-03-07,5
2012-03-08,5
2012-03-09,5
2012-03-10,5
2012-03-11,6
2012-03-12,4
2012-03-13,7
2012-03-14,6
2012-03-15,5
2012-03-16,5
2012-03-17,3
2012-03-18,4
2012-03-19,5
2012-03-20,5
2012-03-21,2
2012-03-22,4
2012-03-23,4
2012-03-24,4
2012-03-25,5
2012-03-26,6
2012-03-27,6
2012-03-28,7
2012-03-29,9
2012-03-30,4
2012-03-31,2
2012-04-01,0
2012-04-02,6
2012-04-04,3
2012-04-05,1
2012-04-06,2
2012-04-07,1
2012-04-08,2
2012-04-09,5
2012-04-10,6
2012-04-11,5
2012-04-12,4
2012-04-13,7
2012-04-14,2
2012-04-15,2
2012-04-16,5
2012-04-17,5
2012-04-18,4
2012-04-19,6
2012-04-20,1
2012-04-21,0
2012-04-22,3
2012-04-23,5
2012-04-24,7
2012-04-25,5
2012-04-26,5
2012-04-27,4
2012-04-28,7
2012-04-29,5
2012-04-30,9
2012-05-01,6
2012-05-02,9
2012-05-03,6
2012-05-05,1
2012-05-06,5
2012-05-07,5
2012-05-08,5
2012-05-09,7
2012-05-10,8
