"date","daily.demand"
2012-01-01,43
2012-01-02,40
2012-01-03,46
2012-01-04,51
2012-01-05,56
2012-01-06,56
2012-01-07,56
2012-01-08,54
2012-01-09,55
2012-01-10,52
2012-01-11,50
2012-01-12,56
2012-01-13,57
2012-01-14,64
2012-01-15,65
2012-01-16,57
2012-01-17,58
2012-01-18,57
2012-01-19,62
2012-01-20,59
2012-01-21,60
2012-01-22,61
2012-01-23,62
2012-01-24,64
2012-01-25,64
2012-01-26,54
2012-01-27,65
2012-01-28,58
2012-01-29,55
2012-01-30,57
2012-01-31,71
2012-02-02,57
2012-02-03,59
2012-02-04,54
2012-02-05,62
2012-02-06,65
2012-02-07,66
2012-02-08,62
2012-02-09,63
2012-02-10,57
2012-02-11,53
2012-02-12,62
2012-02-13,58
2012-02-14,56
2012-02-15,52
2012-02-16,60
2012-02-17,67
2012-02-18,66
2012-02-19,68
2012-02-20,54
2012-02-21,52
2012-02-22,52
2012-02-23,46
2012-02-24,55
2012-02-25,51
2012-02-26,50
2012-02-27,54
2012-02-28,57
2012-02-29,51
2012-03-01,49
2012-03-03,46
2012-03-04,63
2012-03-05,65
2012-03-06,56
2012-03-07,54
2012-03-08,56
2012-03-09,55
2012-03-10,52
2012-03-11,48
2012-03-12,53
2012-03-13,44
2012-03-14,43
2012-03-15,46
2012-03-16,40
2012-03-17,39
2012-03-18,36
2012-03-19,26
2012-03-20,31
2012-03-21,34
2012-03-22,33
2012-03-23,30
2012-03-24,37
2012-03-25,49
2012-03-26,39
2012-03-27,35
2012-03-28,40
2012-03-29,29
2012-03-30,35
2012-03-31,36
2012-04-01,38
2012-04-02,33
2012-04-04,37
2012-04-05,37
2012-04-06,33
2012-04-07,31
2012-04-08,35
2012-04-09,37
2012-04-10,32
2012-04-11,32
2012-04-12,31
2012-04-13,33
2012-04-14,34
2012-04-15,35
2012-04-16,34
2012-04-17,35
2012-04-18,36
2012-04-19,38
2012-04-20,37
2012-04-21,33
2012-04-22,31
2012-04-23,32
2012-04-24,34
2012-04-25,36
2012-04-26,39
2012-04-27,34
2012-04-28,25
2012-04-29,33
2012-04-30,35
2012-05-01,32
2012-05-02,30
2012-05-03,31
2012-05-05,38
2012-05-06,42
2012-05-07,41
2012-05-08,34
2012-05-09,36
2012-05-10,28
2012-05-11,32
2012-05-12,38
2012-05-13,40
2012-05-14,27
2012-05-15,34
2012-05-16,44
2012-05-17,33
2012-05-18,32
2012-05-19,37
2012-05-20,32
2012-05-21,35
2012-05-22,30
2012-05-23,33
2012-05-24,35
2012-05-25,40
2012-05-26,42
2012-05-27,36
2012-05-28,28
2012-05-29,30
2012-05-30,31
2012-05-31,35
2012-06-01,37
2012-06-02,33
2012-06-03,33
2012-06-04,29
2012-06-06,32
2012-06-07,32
2012-06-08,33
2012-06-09,38
2012-06-10,38
2012-06-11,25
2012-06-12,28
2012-06-13,33
2012-06-14,26
2012-06-15,24
2012-06-16,25
2012-06-17,31
2012-06-18,31
2012-06-19,33
2012-06-20,35
2012-06-21,36
2012-06-22,33
2012-06-23,34
